"location","year","multiplier_type","sna1_aic","sna1_changes_in_inventories","sna1_domestic_demand","sna1_exports","sna1_final_consumption","sna1_gdp","sna1_gov_consumption_all","sna1_gov_consumption_col","sna1_gov_consumption_ind","sna1_gross_capital_formation","sna1_gross_fixed_capital_formation","sna1_hh_consumption","sna1_imports","sna1_net_exports"
"GRC",1972,"GDP_CONSTANT_PER_CAPITA",11783.2101001928,1959.93501613518,20592.1788357979,1691.67358067448,12856.9104971014,18528.915558,2218.38161345691,NA,NA,7735.26833869642,6148.02782804329,10549.5556488724,2999.41503405159,-1389.80776546446
"GRC",1972,"GDP_CURRENT_PER_CAPITA",2533.87972168768,421.467456744174,4428.17398092057,363.780102818984,2764.76991542616,3984.486655,477.044212698141,NA,NA,1663.40406549441,1322.08141154977,2268.59276073301,644.998847265237,-298.866411106157
"GRC",1973,"AIC_CONSTANT_PER_CAPITA",10762.591864,3522.16694818952,20376.3494502126,2088.77060743901,11710.1086532917,17948.6254569284,1986.53606659445,NA,NA,8666.24079692091,6013.31467499492,9635.79193616132,3606.39119678751,-1595.52131870028
"GRC",1973,"AIC_CURRENT_PER_CAPITA",2309.768961,755.895233712288,4372.98562403151,448.272830251007,2513.11634215016,3851.96972038851,426.332188798765,NA,NA,1859.86928188136,1290.52255855654,2067.94547354765,773.970671082157,-342.416182376541
"GRC",1973,"CURRENT_LCU_MILLIONS",1164.5043,381.0958,2204.7056,226.0034,1267.0249,1942.0277,214.9417,NA,NA,937.6807,650.6361,1042.5854,390.2088,-172.6342
"GRC",1973,"GDP_CONSTANT_PER_CAPITA",11955.8482195903,3912.67214893353,22635.490072884,2320.35411763731,13008.4168816221,19938.602562,2206.78475919815,NA,NA,9627.07319126187,6680.01522861373,10704.1191675813,4006.23440097942,-1772.41792298267
"GRC",1973,"GDP_CURRENT_PER_CAPITA",2711.89285349587,887.494341169279,5134.30938872646,526.315794047106,2950.64240768482,4522.586169,500.555352305916,NA,NA,2183.66698104164,1515.19868996313,2427.96861756469,908.716658316505,-402.029819253546
"GRC",1974,"AIC_CONSTANT_PER_CAPITA",10615.299455,2763.42026831792,18082.3860640418,2339.42825203388,11787.2372676521,16456.6450398872,2243.33282726684,NA,NA,6295.14879638969,4232.93153879623,9503.92086543592,3498.88037220414,-1116.32241037308
"GRC",1974,"AIC_CURRENT_PER_CAPITA",2508.229435,652.953040811849,4272.58535410421,552.770350727894,2785.14003277865,3888.44814650514,530.06450300393,NA,NA,1487.44532132555,1000.17559815024,2245.62803561504,826.730774417534,-263.769547012549
"GRC",1974,"CURRENT_LCU_MILLIONS",1439.0436,374.618,2451.3055,317.1403,1597.9152,2230.9149,304.1133,NA,NA,853.3903,573.8296,1288.3816,474.3193,-151.3322
