"location","year","multiplier_type","sna2_cfc","sna2_consumption","sna2_gdi","sna2_gdp","sna2_gndi","sna2_gni_mkt","sna2_net_primary","sna2_net_secondary","sna2_nndi","sna2_nni_mkt","sna2_saving_net"
"PER",2008,"GDP_CURRENT_PER_CAPITA",NA,6482.99823693875,8905.19766,8905.19766,8520.20178759919,8291.63810258086,-613.559557419135,228.563685018329,8520.20178759919,8291.63810258086,2037.20355066044
"PER",2009,"CURRENT_LCU_MILLIONS",NA,273864,363943,363943,350852,341305,-22638,9547,350852,341305,76988
"PER",2009,"GDP_CONSTANT_PER_CAPITA",NA,6832.25787995821,9079.515488,9079.515488,8752.92605709074,8514.75102868262,-564.764459317377,238.175028408119,8752.92605709074,8514.75102868262,1920.66817713253
"PER",2009,"GDP_CURRENT_PER_CAPITA",NA,6749.81900446666,8969.960922,8969.960922,8647.31215988642,8412.01098106904,-557.949940930959,235.301178817381,8647.31215988642,8412.01098106904,1897.49315541977
"PER",2010,"CURRENT_LCU_MILLIONS",NA,301168,416784,416784,395701,386171,-30613,9530,395701,386171,94533
"PER",2010,"GDP_CONSTANT_PER_CAPITA",NA,7027.94443926323,9725.916416,9725.916416,9233.93136907275,9011.54283341764,-714.373582582364,222.388535655112,9233.93136907275,9011.54283341764,2205.98692980951
"PER",2010,"GDP_CURRENT_PER_CAPITA",NA,7027.94443926323,9725.916416,9725.916416,9233.93136907275,9011.54283341764,-714.373582582364,222.388535655112,9233.93136907275,9011.54283341764,2205.98692980951
"PER",2011,"CURRENT_LCU_MILLIONS",NA,334833,473049,473049,447603,437614,-35435,9989,447603,437614,112770
"PER",2011,"GDP_CONSTANT_PER_CAPITA",NA,7237.28351540964,10224.767958,10224.767958,9674.76268273408,9458.85437908591,-765.913578914087,215.908303648168,9674.76268273408,9458.85437908591,2437.47916732444
"PER",2011,"GDP_CURRENT_PER_CAPITA",NA,7386.70645611602,10435.871322,10435.871322,9874.51048694991,9654.14448123917,-781.72684076083,220.366005710736,9874.51048694991,9654.14448123917,2487.80403083389
"PER",2012,"CURRENT_LCU_MILLIONS",NA,371518,508131,508131,486972,476638,-31493,10334,486972,476638,115454
"PER",2012,"GDP_CONSTANT_PER_CAPITA",NA,7845.74948379533,10730.754717,10730.754717,10283.9171120182,10065.6827999107,-665.071917089256,218.234312107464,10283.9171120182,10065.6827999107,2438.16762822288
"PER",2012,"GDP_CURRENT_PER_CAPITA",NA,8155.24158160003,11154.051917,11154.051917,10689.5878624318,10462.7448386637,-691.307078336258,226.84302376804,10689.5878624318,10462.7448386637,2534.34628083175
"PER",2013,"CURRENT_LCU_MILLIONS",NA,405609,543670,543670,528397,517289,-26381,11108,528397,517289,122788
"PER",2013,"GDP_CONSTANT_PER_CAPITA",NA,8379.95555870122,11232.320877,11232.320877,10916.7779249254,10687.2846288051,-545.036248194929,229.493296120286,10916.7779249254,10687.2846288051,2536.82236622414
"PER",2013,"GDP_CURRENT_PER_CAPITA",NA,8851.19606392633,11863.962003,11863.962003,11530.6747300737,11288.2760508578,-575.685952142187,242.398679215929,11530.6747300737,11288.2760508578,2679.47866614741
"PER",2014,"CURRENT_LCU_MILLIONS",NA,439410,570780,570780,562539,546567,-24213,15972,562539,546567,123129
"PER",2014,"GDP_CONSTANT_PER_CAPITA",NA,8753.30668962698,11370.274669,11370.274669,11206.1090823515,10887.9374102304,-482.337258769573,318.171672121076,11206.1090823515,10887.9374102304,2452.80239272452
"PER",2014,"GDP_CURRENT_PER_CAPITA",NA,9412.01297473809,12225.913761,12225.913761,12049.3943396741,11707.2795238244,-518.634237175607,342.1148158497,12049.3943396741,11707.2795238244,2637.381364936
"POL",1990,"AIC_CONSTANT_PER_CAPITA",NA,7963.24411572335,11862.2908648669,11862.2908648669,NA,NA,NA,NA,NA,NA,NA
"POL",1990,"AIC_CURRENT_PER_CAPITA",NA,4699.03545980561,6999.82627663982,6999.82627663982,NA,NA,NA,NA,NA,NA,NA
"POL",1990,"CURRENT_LCU_MILLIONS",NA,42076.7856,62678.8608,62678.8608,NA,NA,NA,NA,NA,NA,NA
"POL",1990,"GDP_CONSTANT_PER_CAPITA",NA,6683.79345867448,9956.382215,9956.382215,NA,NA,NA,NA,NA,NA,NA
"POL",1990,"GDP_CURRENT_PER_CAPITA",NA,4154.3879493393,6188.502764,6188.502764,NA,NA,NA,NA,NA,NA,NA
"POL",1991,"AIC_CONSTANT_PER_CAPITA",3895.34044174347,8491.21199972396,10371.1122412779,10371.1122412779,9945.77654009677,9810.00258120837,-367.238754306073,-215.318010046514,8348.25906070521,8216.51122195793,343.513941351498
"POL",1991,"AIC_CURRENT_PER_CAPITA",2377.49161611733,5182.54710773957,6329.93002080557,6329.93002080557,6070.3295882588,5987.46097798664,-224.141399842648,-131.417721079992,5095.29686116952,5014.88556291518,209.661139455393
"POL",1991,"CURRENT_LCU_MILLIONS",33985.9763,74083.9303,90485.6405,90485.6405,86774.6814,85590.0839,-3204.0762,-1878.6016,72836.6978,71687.2273,2997.0825
"POL",1991,"GDP_CONSTANT_PER_CAPITA",3470.10031687193,7564.2573201332,9238.935701,9238.935701,8860.03234877208,8739.08033833606,-327.148637389647,-191.812527316925,7436.91003267384,7319.54462551074,306.01377583322
"POL",1991,"GDP_CURRENT_PER_CAPITA",2229.82080151185,4860.64862114007,5936.76526,5936.76526,5693.28913556277,5615.56766234091,-210.219523997875,-123.255100529022,4778.81766391606,4703.40087409078,196.638661880875
"POL",1992,"AIC_CONSTANT_PER_CAPITA",3439.21256196907,8620.19561540209,10366.321304034,10366.321304034,10013.1333131946,9702.69681348988,-465.666741004981,32.9289030988284,8443.84985706312,8147.88608784441,339.680195041602
"POL",1992,"AIC_CURRENT_PER_CAPITA",2157.02177639261,5406.45549647002,6501.5989535354,6501.5989535354,6280.08482096176,6085.38377297923,-292.059092827469,20.6525068680922,5295.85412070224,5110.23014901539,213.042248628718
"POL",1992,"CURRENT_LCU_MILLIONS",42662.3098,106930.7143,128590.8338,128590.8338,124209.652,120358.7885,-5776.444,408.4723,104743.2027,101071.8687,4213.622
"POL",1992,"GDP_CONSTANT_PER_CAPITA",3137.00263395442,7862.72318545978,9455.413601,9455.413601,9133.26088796445,8850.10301397379,-424.7477487234,30.0353798705344,7701.87325297427,7431.91636404543,309.831872077595
"POL",1992,"GDP_CURRENT_PER_CAPITA",2061.7162787702,5167.57755045029,6214.333368,6214.333368,6002.60657965551,5816.50817095491,-279.1548016044,19.739999880098,5061.86296779264,4884.44057533224,203.629224735137
"POL",1993,"AIC_CONSTANT_PER_CAPITA",2742.00529894844,8899.93624048638,10680.0883264386,10680.0883264386,10370.0523062273,10066.189061606,-411.041825648104,38.9395098505452,8785.47814307988,8495.58045414742,370.305283014344
"POL",1993,"AIC_CURRENT_PER_CAPITA",1762.88660155909,5721.9358252519,6866.42896764887,6866.42896764887,6667.10099908485,6471.74162364723,-264.26649408494,25.0349407468797,5648.34856908021,5461.9679111588,238.076207278989
"POL",1993,"CURRENT_LCU_MILLIONS",44743.3086,145226.7776,174274.8229,174274.8229,169215.7381,164257.379,-6707.2705,635.4045,143359.081,138628.6081,6042.5425
"POL",1993,"GDP_CONSTANT_PER_CAPITA",2515.17027987267,8163.68047626229,9796.567773,9796.567773,9512.17978001381,9233.45391383466,-377.037996261786,35.7182015390198,8058.69103477653,7792.77541029311,339.671423200642
"POL",1993,"GDP_CURRENT_PER_CAPITA",1692.19753894587,5492.49493015274,6591.095644,6591.095644,6399.76042280721,6212.2346602124,-253.669810934461,24.0310778254591,5421.8584106617,5242.95133271194,228.529714663878
"POL",1994,"AIC_CONSTANT_PER_CAPITA",2054.44316503948,9097.87267822334,11358.7031911282,11358.7031911282,11165.0861423103,11050.2367344618,-114.103423521109,85.9458744266401,9487.73464249255,9375.19718389483,525.493335804882
"POL",1994,"AIC_CURRENT_PER_CAPITA",1348.57691993216,5972.02264979552,7456.07628606311,7456.07628606311,7328.98224531056,7253.5928340443,-74.8997324746411,56.4165631775591,6227.93571466864,6154.06391238406,344.944166041705
"POL",1994,"CURRENT_LCU_MILLIONS",45547.0806,201700.1722,251822.8679,251822.8679,247530.3708,244984.1552,-2529.6771,1905.4232,210343.4263,207848.4667,11650.2066
"POL",1994,"GDP_CONSTANT_PER_CAPITA",1864.17169283172,8255.27666101444,10306.721216,10306.721216,10131.0359365052,10026.8232628752,-103.535778357321,77.9860299609375,8609.03170776867,8506.91686308906,476.824970410097
"POL",1994,"GDP_CURRENT_PER_CAPITA",1280.99011737373,5672.72202426908,7082.399154,7082.399154,6961.67470159777,6890.06359113062,-71.1459729703649,53.5891270408805,5915.80946122876,5845.63990153921,327.656555005683
"POL",1995,"AIC_CONSTANT_PER_CAPITA",1766.71347834186,9457.50415738351,12153.4881914964,12153.4881914964,11821.6537338497,11754.2184906148,-184.528731700783,19.8816332405772,10062.1899201848,9993.97868411762,604.08018459274
"POL",1995,"AIC_CURRENT_PER_CAPITA",1184.30664752428,6339.78581127374,8147.02385658251,8147.02385658251,7924.58045594833,7879.37561214119,-123.697818741707,13.3275433165055,6745.13358120242,6699.40855487502,404.941823912685
"POL",1995,"CURRENT_LCU_MILLIONS",50105.4588,268222.6579,344683,344683,335271.8997,333359.3803,-5233.3878,563.8596,285372.0474,283437.5202,17132.2148
"POL",1995,"GDP_CONSTANT_PER_CAPITA",1601.46944567092,8572.92601546827,11016.749595,11016.749595,10715.9522379545,10654.8243397832,-167.269412550453,18.0220667103886,9121.05438219544,9059.22307126013,547.579429386866
"POL",1995,"GDP_CURRENT_PER_CAPITA",1123.5458265728,6014.52326938495,7729.041015,7729.041015,7518.01006710011,7475.12445659833,-117.351505451678,12.6437740622586,6399.07468279295,6355.69557772124,384.16629444153
"POL",1996,"AIC_CONSTANT_PER_CAPITA",1862.45534026192,10135.3867027605,12777.7352662042,12777.7352662042,12589.0697587915,12468.9826575777,-95.9937855088241,95.3978775896777,10733.2845532071,10612.7612898405,604.669407432927
"POL",1996,"AIC_CURRENT_PER_CAPITA",1275.40797623234,6940.70497340463,8750.18322555337,8750.18322555337,8620.9852320271,8538.74967801423,-65.7364700564972,65.3283927744549,7350.14495886196,7267.61072134426,414.07714244315
"POL",1996,"CURRENT_LCU_MILLIONS",62854.1414,342049.0227,431223,431223,424855.9166,420803.2172,-3239.5982,3219.4875,362226.8789,358159.4599,20406.3827
"POL",1996,"GDP_CONSTANT_PER_CAPITA",1702.410308145,9264.42982379844,11679.715353,11679.715353,11507.2623026274,11397.4945597119,-87.7448207402925,87.2001205467742,9810.94894928518,9700.78252462466,552.708787148143
"POL",1996,"GDP_CURRENT_PER_CAPITA",1213.71040776986,6604.94996147539,8326.895118,8326.895118,8203.94704779187,8125.68961985185,-62.5564833876245,62.1681467505491,6994.58338150049,6916.0417188017,394.046255604802
"POL",1997,"AIC_CONSTANT_PER_CAPITA",1922.88562301401,10795.1800000957,13508.6391097422,13508.6391097422,13438.6365239954,13282.0173553224,-110.525119405187,152.095928263478,11519.2541626884,11362.466820139,718.370569910424
"POL",1997,"AIC_CURRENT_PER_CAPITA",1340.23586379076,7524.15391692784,9415.413163007,9415.413163007,9366.62192194042,9257.45961696482,-77.0351221641583,106.009642672218,8028.82780347439,7919.54828265517,500.698528171765
"POL",1997,"CURRENT_LCU_MILLIONS",74274.7047,416982.0592,521794,521794,519090.0319,513040.352,-4269.2194,5874.9621,444950.6466,438894.4707,27748.2765
"POL",1997,"GDP_CONSTANT_PER_CAPITA",1769.79886082927,9935.74294693093,12433.175339,12433.175339,12368.7458716271,12224.5956304562,-101.725879103363,139.987109662586,10602.1713672047,10457.8663409903,661.178907920661
"POL",1997,"GDP_CURRENT_PER_CAPITA",1281.89461786808,7196.62312485812,9005.554757,9005.554757,8958.88742700822,8854.47702059923,-73.6817385334954,101.394981327592,7679.32826387206,7574.80574409323,478.902830299172
"POL",1998,"AIC_CONSTANT_PER_CAPITA",2001.06030381944,11281.0131961004,14190.4351506049,14190.4351506049,14235.4098648672,14015.4530696643,-109.5412035631,222.150902880044,12236.0744105827,12016.3946504545,919.732418485278
"POL",1998,"AIC_CURRENT_PER_CAPITA",1407.61341443544,7935.44575990301,9982.03144430074,9982.03144430074,10013.6681775792,9858.94313759269,-77.0549829380535,156.268449444545,8607.26808057281,8452.73791641626,646.970852142717
"POL",1998,"CURRENT_LCU_MILLIONS",85464.7941,481809.3029,606070,606070,607990.859,598596.5583,-4678.4779,9488.0105,522599.7328,513217.2642,39281.5457
"POL",1998,"GDP_CONSTANT_PER_CAPITA",1834.55328588402,10342.3269091417,13009.657622,13009.657622,13050.8900174826,12849.2356942112,-100.426346248938,203.665860575414,11217.9180574466,11016.5177173289,843.202040061291
"POL",1998,"GDP_CURRENT_PER_CAPITA",1348.85352629751,7604.18584123881,9565.338164,9565.338164,9595.65424283638,9447.38809699547,-73.8383737956021,149.745126695073,8247.96338483681,8099.8839798636,619.96348313746
"POL",1999,"AIC_CONSTANT_PER_CAPITA",2093.82347721536,11851.7848408498,14786.4227458411,14786.4227458411,14764.8535745925,14580.2774863682,-94.7438137217089,181.432765231316,12673.8356210619,12489.1932089717,811.776517204937
"POL",1999,"AIC_CURRENT_PER_CAPITA",1498.22722080797,8480.49840731353,10580.3671117758,10580.3671117758,10564.9333754333,10432.8606755629,-67.7935662990105,129.823507365354,9068.7136361532,8936.59347849928,580.863520026352
"POL",1999,"CURRENT_LCU_MILLIONS",95340.4452,539660.7954,673287,673287,672304.8664,663900.3535,-4314.0778,8261.3844,577092.1683,568684.6354,36963.5432
"POL",1999,"GDP_CONSTANT_PER_CAPITA",1928.44754455122,10915.6983019803,13618.55044,13618.55044,13598.6848611749,13428.6870996671,-87.2606869305129,167.102706803531,11672.8212523374,11502.762405405,747.660176878982
"POL",1999,"GDP_CURRENT_PER_CAPITA",1433.68906902802,8115.18953708377,10124.603574,10124.603574,10109.8346665999,9983.45117583729,-64.8732672877897,124.231185248531,8678.06660413403,8551.63769989578,555.842042977844
"POL",2000,"AIC_CONSTANT_PER_CAPITA",2099.52610002836,12291.7233835463,15044.7307583346,15044.7307583346,15171.8301273253,14981.7550450033,-325.16976893101,190.095221661081,13072.3040272969,12882.2289449749,780.58064375059
"POL",2000,"AIC_CURRENT_PER_CAPITA",1590.47192007378,9311.4540898447,11396.9632556025,11396.9632556025,11493.2459250277,11349.2567261629,-246.328629462938,144.004455190181,9902.77400495396,9758.78480608915,591.319915109253
"POL",2000,"CURRENT_LCU_MILLIONS",104250,610334,747032,747032,753343,743905,-16146,9439,649093,639655,38759
"POL",2000,"GDP_CONSTANT_PER_CAPITA",1987.8770784054,11638.0716428919,14244.6790372695,14244.6790372695,14365.0194904284,14185.0522590999,-307.877825495766,179.986299693703,12377.142412023,12197.1751806945,739.070769131078
"POL",2000,"GDP_CURRENT_PER_CAPITA",1486.73962779305,8704.15102148145,10653.6410324172,10653.6410324172,10743.6440424028,10609.0459742291,-230.262810842652,134.612329465118,9256.9044146098,9122.30634643607,552.753393128352
