"location","year","multiplier_type","nfa_agdi_fin","nfa_agdi_gov","nfa_agdi_hh","nfa_agdi_nfc","nfa_agdi_tot","nfa_andi_fin","nfa_andi_gov","nfa_andi_hh","nfa_andi_nfc","nfa_andi_tot","nfa_cfc_fin","nfa_cfc_gov","nfa_cfc_hh","nfa_cfc_nfc","nfa_cfc_tot","nfa_gcf_fin","nfa_gcf_gov","nfa_gcf_hh","nfa_gcf_nfc","nfa_gcf_tot","nfa_gdi_fin","nfa_gdi_gov","nfa_gdi_hh","nfa_gdi_nfc","nfa_gdi_tot","nfa_gpi_fin","nfa_gpi_gov","nfa_gpi_hh","nfa_gpi_nfc","nfa_gpi_tot","nfa_gs_fin","nfa_gs_gov","nfa_gs_hh","nfa_gs_nfc","nfa_gs_tot","nfa_gva_fin","nfa_gva_gov","nfa_gva_hh","nfa_gva_nfc","nfa_gva_tot","nfa_ndi_fin","nfa_ndi_gov","nfa_ndi_hh","nfa_ndi_nfc","nfa_ndi_tot","nfa_nl_fin","nfa_nl_gov","nfa_nl_hh","nfa_nl_nfc","nfa_nl_tot"
"AUS",1975,"AIC_CURRENT_PER_CAPITA",NA,580.729925786333,5324.72961907806,NA,NA,NA,415.938684476009,4965.01565595392,NA,NA,NA,164.791241310323,359.713963124137,446.691432618746,991.620810693459,NA,NA,NA,NA,1710.50512775739,NA,1222.26642176399,4683.1931231004,NA,NA,125.729038492655,NA,5038.79118811453,597.038201316572,NA,178.070837099233,65.1554436660515,1074.56004053296,375.400971015129,NA,NA,NA,NA,NA,6463.82383563782,NA,1057.47518045366,4323.47915997626,NA,NA,103.596378844473,-278.017268563128,NA,-283.608677316353,-0.093190145887082
"AUS",1975,"CURRENT_LCU_MILLIONS",NA,7478,68566,NA,NA,NA,5356,63934,NA,NA,NA,2122,4632,5752,12769,NA,NA,NA,NA,22026,NA,15739,60305,NA,NA,1619,NA,64884,7688,NA,2293,839,13837,4834,NA,NA,NA,NA,NA,83234,NA,13617,55673,NA,NA,1334,-3580,NA,-3652,-1.2
"AUS",1975,"GDP_CONSTANT_PER_CAPITA",NA,2104.21437735361,19293.6029683909,NA,NA,NA,1507.11048476945,17990.2169031459,NA,NA,NA,597.10389258416,1303.38606524497,1618.53986340438,3593.03468633701,NA,NA,NA,NA,6197.83710558846,NA,4428.75502609901,16969.0623196455,NA,NA,455.566070732213,NA,18257.5348569419,2163.30571450849,NA,645.221124267427,236.083961299769,3893.55634386759,1360.22630384158,NA,NA,NA,NA,NA,23420.992175,NA,3831.65113351485,15665.6762544005,NA,NA,375.370684593435,-1007.36660483096,NA,-1027.62649185549,-0.337664783742221
"AUS",1975,"GDP_CURRENT_PER_CAPITA",NA,621.695216340318,5700.34156239505,NA,NA,NA,445.279430157628,5315.2530036777,NA,NA,NA,176.41578618269,385.088558717351,478.201509011702,1061.57076991836,NA,NA,NA,NA,1831.16593141373,NA,1308.48636132392,5013.55041741145,NA,NA,134.598095112995,NA,5394.23273830238,639.153894520508,NA,190.632138415131,69.7515761580003,1150.36061894905,401.882144395439,NA,NA,NA,NA,NA,6919.788665,NA,1132.07057514123,4628.4618586941,NA,NA,110.904174725593,-297.628894690872,NA,-303.614727209794,-0.0997638753153759
"AUS",1976,"AIC_CONSTANT_PER_CAPITA",NA,2016.31966511526,19831.9333303272,NA,NA,NA,1411.52460677424,18555.0317169478,NA,NA,NA,604.795058341025,1276.90161337945,1664.63600259516,3628.26614407838,NA,NA,NA,NA,6539.80350497062,NA,4353.31432573273,17494.9386697098,NA,NA,580.845274871914,NA,18637.9735986461,2305.22968464791,NA,646.644153665998,119.244711377784,3749.52767932725,1521.69361073215,NA,NA,NA,NA,NA,24220.5420738039,NA,3748.5192673917,16218.0370563303,NA,NA,382.188123570235,-1011.68927433203,NA,-1139.50548716191,-0.554626564547834
"AUS",1976,"AIC_CURRENT_PER_CAPITA",NA,581.872432530779,5723.12787915307,NA,NA,NA,407.339803668396,5354.63777278043,NA,NA,NA,174.532628862383,368.490106372643,480.383054763783,1047.05026869004,NA,NA,NA,NA,1887.26591301337,NA,1256.28571704695,5048.7145946369,NA,NA,167.621165860329,NA,5378.57326044017,665.246502008183,NA,186.609501055445,34.4118105260138,1082.04409715307,439.132533477842,NA,NA,NA,NA,NA,6989.59891009778,NA,1081.75308818457,4680.22448826426,NA,NA,110.292399064349,-291.954747655166,NA,-328.840134413494,-0.160054932679134
"AUS",1976,"CURRENT_LCU_MILLIONS",NA,7998,78666,NA,NA,NA,5599,73601,NA,NA,NA,2399,5065,6603,14392,NA,NA,NA,NA,25941,NA,17268,69396,NA,NA,2304,NA,73930,9144,NA,2565,473,14873,6036,NA,NA,NA,NA,NA,96074,NA,14869,64331,NA,NA,1516,-4013,NA,-4520,-2.2
"AUS",1976,"GDP_CONSTANT_PER_CAPITA",NA,1999.68256691634,19668.2956750488,NA,NA,NA,1399.87780597206,18401.9300584658,NA,NA,NA,599.804760944272,1266.36561658305,1650.90072384953,3598.32852001249,NA,NA,NA,NA,6485.8421440831,NA,4317.39416923122,17350.5840727339,NA,NA,576.05259242001,NA,18484.1875684077,2286.20872616691,NA,641.308550155089,118.26079696817,3718.58949959323,1509.13778118367,NA,NA,NA,NA,NA,24020.69304,NA,3717.58940828695,16084.2184561509,NA,NA,379.034605081916,-1003.34160303016,NA,-1130.10317610175,-0.550050218456606
"AUS",1976,"GDP_CURRENT_PER_CAPITA",NA,614.064378776464,6039.75849222672,NA,NA,NA,429.875776040188,5650.88176323162,NA,NA,NA,184.188602736276,388.876728995098,506.96012666429,1104.97806193434,NA,NA,NA,NA,1991.67842583649,NA,1325.78940894123,5328.03346206195,NA,NA,176.894764778816,NA,5676.14147573693,702.051097715927,NA,196.933624851417,36.3156353039844,1141.90791517159,463.427430644503,NA,NA,NA,NA,NA,7376.296715,NA,1141.60080620496,4939.15673306685,NA,NA,116.394298352728,-308.107070771437,NA,-347.033132291775,-0.168909931646439
"AUS",1977,"AIC_CONSTANT_PER_CAPITA",NA,1806.85105666776,19806.8857116475,NA,NA,NA,1190.33959834795,18521.1363430005,NA,NA,NA,616.511458319809,1285.74936864698,1707.33273166685,3696.10146041195,NA,NA,NA,NA,6190.90717660429,NA,4132.52127096636,17481.2154973489,NA,NA,536.851147711289,NA,18441.476032392,2204.46785059338,NA,515.851868123943,-144.027667604517,3615.98464372544,1498.25294794936,NA,NA,NA,NA,NA,23948.3088511345,NA,3516.00981264655,16195.4661287019,NA,NA,259.295452295929,-1215.67568567616,NA,-964.140836705988,-0.639108509180106
"AUS",1977,"AIC_CURRENT_PER_CAPITA",NA,555.389983690087,6088.24169084019,NA,NA,NA,365.886655500733,5693.0279745534,NA,NA,NA,189.503328189354,395.213716286794,524.800035118981,1136.10788351359,NA,NA,NA,NA,1902.96141076632,NA,1270.25463045844,5373.37704407184,NA,NA,165.017337245968,NA,5668.54198361002,677.609457109507,NA,158.562577455735,-44.2712329091012,1111.4815717052,460.533078946656,NA,NA,NA,NA,NA,7361.23257816623,NA,1080.75130226909,4978.16332778505,NA,NA,79.7022513228826,-373.674463508515,NA,-296.357666890718,-0.196449211007105
"AUS",1977,"CURRENT_LCU_MILLIONS",NA,7916,86776,NA,NA,NA,5215,81143,NA,NA,NA,2701,5633,7480,16193,NA,NA,NA,NA,27123,NA,18105,76587,NA,NA,2352,NA,80794,9658,NA,2260,-631,15842,6564,NA,NA,NA,NA,NA,104920,NA,15404,70954,NA,NA,1136,-5326,NA,-4224,-2.8
"AUS",1977,"GDP_CONSTANT_PER_CAPITA",NA,1806.61937370164,19804.3459793246,NA,NA,NA,1190.18696738934,18518.7614755271,NA,NA,NA,616.432406312295,1285.58450379754,1707.11380940984,3695.62752884672,NA,NA,NA,NA,6190.11334928115,NA,4131.99137959426,17478.973973432,NA,NA,536.78231012459,NA,18439.1113793393,2204.18518332623,NA,515.785723163934,-144.009199697541,3615.52098511639,1498.06083488852,NA,NA,NA,NA,NA,23945.238086,NA,3515.55897328197,16193.3894696344,NA,NA,259.262204209836,-1215.51980600492,NA,-964.017210019672,-0.639026559672131
"AUS",1977,"GDP_CURRENT_PER_CAPITA",NA,581.432781980099,6373.72550392939,NA,NA,NA,383.043450988658,5959.9798166007,NA,NA,NA,198.389330991441,413.745687328689,549.408439768967,1189.38113170841,NA,NA,NA,NA,1992.19319677188,NA,1329.81815534989,5625.34013055961,NA,NA,172.755167157301,NA,5934.34565276656,709.383250172284,NA,165.997737149447,-46.347155814735,1163.60006722192,482.12794099512,NA,NA,NA,NA,NA,7706.408222,NA,1131.42882435844,5211.59444323092,NA,NA,83.4395705317575,-391.196437193786,NA,-310.254177751887,-0.205660913282501
"AUS",1978,"AIC_CONSTANT_PER_CAPITA",NA,1790.67945769419,20205.8308073288,NA,NA,NA,1176.12059553058,18933.2762205761,NA,NA,NA,614.558862163618,1272.55458675273,1740.79980706204,3718.11229087153,NA,NA,NA,NA,6873.62368898794,NA,4128.37241732097,17868.137847702,NA,NA,472.401857861989,NA,18854.3001070752,2467.79571502563,NA,583.17624864089,-156.705235736005,3892.48323620642,1723.34192934079,NA,NA,NA,NA,NA,24646.1588729783,NA,3513.81355515735,16595.5832609493,NA,NA,303.226709467947,-1174.66577238714,NA,-1300.81972211095,-0.706628383955462
"AUS",1978,"AIC_CURRENT_PER_CAPITA",NA,588.31208384009,6638.44909646021,NA,NA,NA,386.404141417255,6220.36241013792,NA,NA,NA,201.907942422835,418.086686322292,571.924560613346,1221.55329386017,NA,NA,NA,NA,2258.26898199202,NA,1356.34067240013,5870.42050790017,NA,NA,155.203501226616,NA,6194.41549836224,810.772711643132,NA,191.597459059342,-51.4841354706857,1278.84134380699,566.188927483986,NA,NA,NA,NA,NA,8097.28007037427,NA,1154.4327299773,5452.33382157788,NA,NA,99.6224849492445,-385.926171989808,NA,-427.372949484113,-0.232156579045532
"AUS",1978,"CURRENT_LCU_MILLIONS",NA,8616,97222,NA,NA,NA,5659,91099,NA,NA,NA,2957,6123,8376,17890,NA,NA,NA,NA,33073,NA,19864,85974,NA,NA,2273,NA,90719,11874,NA,2806,-754,18729,8292,NA,NA,NA,NA,NA,118587,NA,16907,79851,NA,NA,1459,-5652,NA,-6259,-3.4
"AUS",1978,"GDP_CONSTANT_PER_CAPITA",NA,1791.37127083043,20213.6371509605,NA,NA,NA,1176.57497929775,18940.5909240229,NA,NA,NA,614.796291532681,1273.04622693764,1741.47234963738,3719.54875059846,NA,NA,NA,NA,6876.27925257367,NA,4129.96737741128,17875.0410443797,NA,NA,472.584366132493,NA,18861.5842988006,2468.74912602606,NA,583.401553615388,-156.765777414826,3893.98706260249,1724.00772721981,NA,NA,NA,NA,NA,24655.680698,NA,3515.1710858786,16601.994817442,NA,NA,303.343858419405,-1175.11959409628,NA,-1301.32228228037,-0.706901383568182
"AUS",1978,"GDP_CURRENT_PER_CAPITA",NA,619.753145242227,6993.22658852598,NA,NA,NA,407.054671416639,6552.79616741198,NA,NA,NA,212.698473825588,440.430421113992,602.489826433252,1286.83655621906,NA,NA,NA,NA,2378.95726237189,NA,1428.82735342289,6184.15238034532,NA,NA,163.498015220007,NA,6525.46257929777,854.102698074072,NA,201.836969074941,-54.2355932581986,1347.18624155544,596.44766485011,NA,NA,NA,NA,NA,8530.021615,NA,1216.1288795973,5743.72195923132,NA,NA,104.946592259565,-406.551157951377,NA,-450.212968439079,-0.244563683127156
