"location","year","multiplier_type","vaact_health_cfc","vaact_health_coe","vaact_health_coewage","vaact_health_gosmi","vaact_health_gva","vaact_health_interc","vaact_health_nosmi","vaact_health_out","vaact_health_taxsub","vaact_total_cfc","vaact_total_coe","vaact_total_coewage","vaact_total_gosmi","vaact_total_gva","vaact_total_interc","vaact_total_nosmi","vaact_total_out","vaact_total_taxsub"
"AUS",1988,"AIC_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2793.33247493074,8190.30337320313,NA,7033.51991963504,NA,NA,4240.1874447043,NA,405.999537831598
"AUS",1988,"CURRENT_LCU_MILLIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,60610,177714,NA,152614,NA,NA,92004,NA,8809.4175
"AUS",1988,"GDP_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,4924.71716231448,14439.7159838897,NA,12400.2769346554,NA,NA,7475.55977234089,NA,715.787651414676
"AUS",1988,"GDP_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2817.10699477988,8260.01241495317,NA,7093.3833839521,NA,NA,4276.27638917222,NA,409.455067797167
"AUS",1989,"AIC_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,5054.3418814924,15118.2345805701,13884.6235023717,12405.0784099966,28297.4177735562,NA,7350.73652850424,NA,774.104782989404
"AUS",1989,"AIC_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2960.50842962429,8855.28956414791,8132.71952802564,7266.09716240672,16574.8075257776,NA,4305.58873278243,NA,453.42079922301
"AUS",1989,"CURRENT_LCU_MILLIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,66690,199479,183202,163680,373373,NA,96990,NA,10214
"AUS",1989,"GDP_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,5021.60308252112,15020.3083115644,13794.6877781382,12324.726234024,28114.1251721421,NA,7303.12315150283,NA,769.090626553767
"AUS",1989,"GDP_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2936.72299656421,8784.14404905731,8067.37931348863,7207.71959930469,16441.6415563978,NA,4270.99660274048,NA,449.77790803579
"AUS",1990,"AIC_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,4987.50914337275,14710.6122479363,13476.7173553174,11644.0716495148,27068.5026986661,NA,6656.56250614201,NA,713.889743254437
"AUS",1990,"AIC_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,3051.95394386064,9001.7100272088,8246.66572040452,7125.23413426785,16563.7437828798,NA,4073.28019040721,NA,436.843032218219
"AUS",1990,"CURRENT_LCU_MILLIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,70304,207361,189968,164135,381558,NA,93831,NA,10063
"AUS",1990,"GDP_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,5062.17096837138,14930.8266126032,13678.4606070718,11818.380631168,27473.7117425729,NA,6756.20966279664,NA,724.576502826599
"AUS",1990,"GDP_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,3017.25146529195,8899.35538652715,8152.89636946094,7044.21610798383,16375.4044520065,NA,4026.96464269187,NA,431.87587470461
"AUS",1991,"AIC_CONSTANT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,4940.07432765337,14318.4163290915,13105.2117258535,11425.3480503128,26412.0452374341,NA,6485.27372265947,NA,668.348973497896
"AUS",1991,"AIC_CURRENT_PER_CAPITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,3126.67441603325,9062.41951941424,8294.55743014891,7231.33723782609,16716.725425916,NA,4104.66282179284,NA,423.011780353233
"AUS",1991,"CURRENT_LCU_MILLIONS",NA,NA,NA,NA,NA,NA,NA,NA,NA,72525,210208,192397,167735,387754,NA,95210,NA,9812
